day,date,service_type,line,min_delay
Monday,2023-01-16T12:15:00Z,Regular,510,24
Monday,2023-01-16T13:04:00Z,Regular,501,7
Monday,2023-01-16T17:25:00Z,Regular,501,6
Monday,2023-01-16T17:47:00Z,Regular,501,8
Monday,2023-01-16T18:59:00Z,Regular,510,10
Monday,2023-01-16T19:42:00Z,Regular,505,14
Monday,2023-01-16T20:20:00Z,Regular,501,10
Monday,2023-01-16T21:12:00Z,Regular,501,10
Monday,2023-01-16T21:26:00Z,Regular,501,8
Monday,2023-01-16T21:37:00Z,Regular,510,10
Monday,2023-01-16T22:01:00Z,Regular,510,13
Monday,2023-01-17T01:51:00Z,Regular,501,10
Monday,2023-01-17T01:51:00Z,Regular,512,14
Monday,2023-01-17T03:22:00Z,Regular,501,18
Monday,2023-01-17T03:28:00Z,Regular,501,15
Monday,2023-01-16T06:28:00Z,Regular,501,10
Tuesday,2023-01-17T12:11:00Z,Regular,506,9
Tuesday,2023-01-17T12:43:00Z,Regular,501,7
Tuesday,2023-01-17T17:21:00Z,Regular,501,7
Tuesday,2023-01-17T17:52:00Z,Regular,501,11
Tuesday,2023-01-17T18:43:00Z,Regular,501,7
Tuesday,2023-01-17T19:07:00Z,Regular,504,4
Tuesday,2023-01-17T19:20:00Z,Regular,510,9
Tuesday,2023-01-17T20:11:00Z,Regular,501,15
Tuesday,2023-01-17T20:25:00Z,Regular,503,9
Tuesday,2023-01-17T21:27:00Z,Regular,505,8
Tuesday,2023-01-17T21:28:00Z,Regular,512,17
Tuesday,2023-01-17T21:42:00Z,Regular,512,10
Tuesday,2023-01-17T22:11:00Z,Regular,504,5
Tuesday,2023-01-17T22:14:00Z,Regular,503,10
Tuesday,2023-01-17T22:34:00Z,Regular,504,5
Tuesday,2023-01-17T22:35:00Z,Regular,501,20
Tuesday,2023-01-17T23:10:00Z,Regular,504,16
Tuesday,2023-01-17T23:19:00Z,Regular,510,32
Tuesday,2023-01-18T00:40:00Z,Regular,504,80
Tuesday,2023-01-18T00:41:00Z,Regular,511,23
Tuesday,2023-01-18T02:10:00Z,Regular,501,10
Tuesday,2023-01-18T02:15:00Z,Regular,504,7
Tuesday,2023-01-18T02:16:00Z,Regular,505,10
Tuesday,2023-01-18T02:21:00Z,Regular,501,18
Tuesday,2023-01-18T02:24:00Z,Regular,506,10
Tuesday,2023-01-18T02:48:00Z,Regular,501,25
Tuesday,2023-01-18T02:48:00Z,Regular,501,25
Tuesday,2023-01-18T02:52:00Z,Regular,501,13
Tuesday,2023-01-18T03:03:00Z,Regular,511,10
Tuesday,2023-01-18T03:15:00Z,Regular,505,24
Tuesday,2023-01-18T03:31:00Z,Regular,506,17
Tuesday,2023-01-18T03:35:00Z,Regular,504,10
Tuesday,2023-01-18T03:44:00Z,Regular,505,18
Tuesday,2023-01-18T04:16:00Z,Regular,501,10
Tuesday,2023-01-17T06:18:00Z,Regular,504,10
Tuesday,2023-01-17T06:26:00Z,Regular,501,20
Wednesday,2023-01-18T07:05:00Z,Regular,504,6
Wednesday,2023-01-18T07:13:00Z,Regular,501,23
Wednesday,2023-01-18T09:28:00Z,Night,301,15
Wednesday,2023-01-18T11:00:00Z,Regular,503,31
Wednesday,2023-01-18T11:09:00Z,Regular,505,9
Wednesday,2023-01-18T12:44:00Z,Regular,504,32
Wednesday,2023-01-18T12:44:00Z,Regular,501,5
Wednesday,2023-01-18T12:50:00Z,Regular,511,9
Wednesday,2023-01-18T12:50:00Z,Regular,511,9
Wednesday,2023-01-18T12:55:00Z,Regular,501,6
Wednesday,2023-01-18T13:16:00Z,Regular,505,9
Wednesday,2023-01-18T14:02:00Z,Regular,501,6
Wednesday,2023-01-18T15:23:00Z,Regular,512,6
Wednesday,2023-01-18T16:29:00Z,Regular,510,45
Wednesday,2023-01-18T18:31:00Z,Regular,501,9
Wednesday,2023-01-18T19:17:00Z,Regular,504,7
Wednesday,2023-01-18T19:30:00Z,Regular,503,10
Wednesday,2023-01-18T20:16:00Z,Regular,501,7
Wednesday,2023-01-18T21:09:00Z,Regular,504,5
Wednesday,2023-01-18T21:18:00Z,Regular,504,15
Wednesday,2023-01-18T21:21:00Z,Regular,510,10
